Company Name,Founded,Industry,Job Description,Job Function,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership
Freeport McMoRan,-1,Mining,"Freeport-McMoRan is a leading international mining company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold, and molybdenum. The company has a dynamic portfolio of operating, expansion and growth projects in the copper industry. Freeport-McMoRan is one of the world’s largest publicly traded copper producers, the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe, highly efficient and socially-responsible manner.

We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan.",Data Scientist,Data Scientist III,"Phoenix, AZ",4.0,$10+ billion (USD),$103K - $164K (Glassdoor est.),Mining & Metals,10000+ Employees,Company - Public
Peraton,2017,IT Services,"Technology is constantly changing and our adversaries are digitally exceeding law enforcement’s ability to keep pace. Those charged with protecting the United States are not always able to access the evidence needed to prosecute crime and prevent terrorism. The Government has trusted in Peraton to provide the technical ability, tools, and resources to bring criminals to justice. In response to this challenge, these employees provide proven, industry leading cloud development experience for our enforcement customer. At Peraton you will help protect our national security by working with our countries law enforcement customer to solve their big data challenges. Peraton is looking for a talented Data Scientist, to analyzing production data which will lead to the program choosing right-fit technology solutions.
What you’ll do…
Work closely with entity resolution subject matter experts, program engineers and stakeholders to integrate complex data sources into operation and develop new analytics and algorithms",Technical Specialist,Data Scientist Technical Specialist,"Chantilly, VA",4.0,$2 to $5 billion (USD),$50K - $107K (Glassdoor est.),Information Technology,5001 to 10000 Employees,Company - Private
Comcast,1963,Telecommunications Services,"Job Summary Responsible for planning and designing new software and web applications. Edits new and existing applications. Implements, testing and debugging defined software components. Documents all development activity. Works with moderate guidance in own area of knowledge.
Job Description
Core Responsibilities
Analyzes and determines integration needs.
Evaluates and plans software designs, test results and technical manuals.
Reviews literature, patents and current practices relevant to the solution of assigned projects.
Programs new software, web applications and supports new applications under development and the customization of current applications.
Edits and reviews technical requirements documentation.
Works with Quality Assurance team to determine if applications fit specification and technical requirements.
Displays knowledge of engineering methodologies, concepts, skills and their application in the area of specified engineering specialty.
Displays knowledge of and ability to apply, process design and redesign skills.
Displays in-depth knowledge of and ability to apply, project management skills.
Consistent exercise of independent judgment and discretion in matters of significance.
Regular, consistent and punctual attendance. Must be able to work nights and weekends, variable schedule(s) and overtime as necessary.
Other duties and responsibilities as assigned.


Understand our Operating Principles; make them the guidelines for how you do your job.
Own the customer experience - think and act in ways that put our customers first, give them seamless digital options at every touchpoint, and make them promoters of our products and services.
Know your stuff - be enthusiastic learners, users and advocates of our game-changing technology, products and services, especially our digital tools and experiences.
Win as a team - make big things happen by working together and being open to new ideas.
Be an active part of the Net Promoter System - a way of working that brings more employee and customer feedback into the company - by joining huddles, making call backs and helping us elevate opportunities to do better for our customers.
Drive results and growth.
Respect and promote inclusion & diversity.
Do what's right for each other, our customers, investors and our communities. Qualifications: This position is responsible for Teradata Database Administration, AWS Technologies, As a Engineer 2, this position is a database administrator and responsible for Teradata database, AWS technologies like Teradata , Snowflake , Oracle , Hadoop with technologies including Viewpoint, Presto, QueryGrid, TASM , BTEQ, Data Domain, TPT, FASTOAD, MLOAD, TPUMP, DBQL, PDCR, knowledge of Teradata RDBMS at both physical and logical level. This position is responsible ensuring that critical decision-making system is available for Comcast’s analytics group.


This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications.

Comcast is an EOE/Veterans/Disabled/LGBT employer.

Education
Bachelor's Degree
Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details.",Data Engineer,Junior Data Engineer,"West Chester, PA",3.9,$10+ billion (USD),$73K - $124K (Glassdoor est.),Telecommunications,10000+ Employees,Company - Public
Alaska Heart and Vascular Institute,-1,-1,"***We do not offer visa sponsorship for this role***
Join a quality focused, team oriented, growing organization. Set in beautiful Anchorage, Alaska this is an in-office job working with a dynamic team in a environment that ensures the highest safety measure.
A robust benefit plan includes competitive pay, relocation/sign-on bonus, excellent benefits package including medical, dental, flexible spending accounts, life insurance, voluntary insurance and vision coverage. 4-weeks of PTO in addition to 8 paid holidays per year. And many other perks as part of an employee and patient satisfaction centered environment.
JOB TITLE: Data Analyst
DEPARTMENT: Finance Department, Decision Support Services Section
GENERAL SUMMARY OF DUTIES: Responsible for collection of qualitative data from all available system in order to improve operational efficiencies. Maintenance and update of systems, creation of reporting platforms with the goal of improved organizational efficiency.
SUPERVISION RECEIVED: Reports to Director of Finance",Data Analyst,Data Analyst,"Anchorage, AK",3.0,$10 to $25 million (USD),-1,-1,51 to 200 Employees,Company - Private
Regions,,Banks & Credit Unions,"Thank you for your interest in a career at Regions. At Regions, we believe associates deserve more than just a job. We believe in offering performance-driven individuals a place where they can build a career --- a place to expect more opportunities. If you are focused on results, dedicated to quality, strength and integrity, and possess the drive to succeed, then we are your employer of choice.

Regions is dedicated to taking appropriate steps to safeguard and protect private and personally identifiable information you submit. The information that you submit will be collected and reviewed by associates, consultants, and vendors of Regions in order to evaluate your qualifications and experience for job opportunities and will not be used for marketing purposes, sold, or shared outside of Regions unless required by law. Such information will be stored for a set period of time. You may review, modify, or update your information by visiting and logging into the careers section of the system.


At Regions, the Business Intelligence Analyst drives business decisions by providing quantitative and qualitative data analysis. This position applies data mining techniques and conducts statistical analysis to report key findings in-order to improve processes and provide data-driven forecasts of potential costs, risks, and profits of new business initiatives.

Primary Responsibilities
Collects, aggregates, and analyzes complex data from multiple internal and external sources to drive insights into business performance
Produces actionable reports that show key performance indicators, identifies areas of improvement for current operations, and displays root cause analysis of problems
Communicates complex findings and insights to stakeholders and provides business strategy recommendations for optimizing business performance
Provides reporting solutions and responds to moderately-complex ad-hoc report requests
Prepares visual reports/presentations to present analysis to key stakeholders
Assists business intelligence developers in the design and development of business intelligence reporting tools
Serves as a subject matter expert and acts as an enterprise data liaison for the business unit
Analyzes trends in information to ensure business decisions are modernized, keeping pace with the growing industry

This position is exempt from timekeeping requirements under the Fair Labor Standards Act and is not eligible for overtime pay.

Requirements
Bachelor’s degree in Business, Computer Science, Information Systems, Finance, Statistics, or related field
Six (6) years of experience within the financial services industry

Preferences
Prior experience applying statistical skills such as distributions, statistical testing, and regression analysis
Prior experience using data visualization tools such as Tableau and QlikView
Prior experience using relational databases such as SQL and Oracle
Prior experience using query development, scripting, and programming skills such as Excel Power Pivot and Dax

Skills and Competencies
Ability to clearly articulate complex concepts, features, and benefits of analyses to any audience
Proficiency in Microsoft Office (Excel, Word, PowerPoint, Outlook, etc.)
Strong verbal, written communication, and organizational skills
Strong work ethic and self-motivation

3-5 years’ experience exploring, analyzing and extracting complex data using SQL.
1-2 years’ experience developing compelling, dynamic reporting using Microsoft Power BI, Power Query, and DAX.
Above average proficiency in Microsoft Excel and PowerPoint.
Superior candidates will also possess experience conducting data analysis and extraction using Python.
Candidates should possess the ability to conduct business analysis and prepare business requirement specifications with respect to data related business processes.
Ability to clearly articulate complex concepts, features, and benefits of analyses to a variety of audiences.
Self-starter with ability to successfully plan, organize, and execute assigned initiatives with minimal guidance and direction.
Strong interpersonal skills with ability to build and leverage relationships across technical and operational environments.
Excellent communication and presentation skills.

Position Type Full time

Location Details Riverchase OPS Center
Hoover, Alabama

Bring Your Whole Self to Work

We have a passion for creating an inclusive environment that promotes and values diversity of race, color, national origin, religion, age, sexual orientation, gender identity, disability, veteran status, genetic information, sex, pregnancy, and many other primary and secondary dimensions that make each of us unique as individuals and provide valuable perspective that makes us a better company and employer. More importantly, we recognize that creating a workplace where everyone, regardless of background, can do their best work is the right thing to do.

Equal Opportunity Employer/Disabled/Veterans",Bi Analyst,,"Hoover, AL",3.5,$5 to $10 billion (USD),$33K - $66K (Glassdoor est.),Finance,10000+ Employees,
LGC Limited,1842,Biotech & Pharmaceuticals,"LGC, Biosearch Technologies is seeking a detail-oriented and analytical team player to fulfill the role of Scientist in our Research and Development group in Middleton, WI. The individual will provide technical assistance to the R&D group in the areas of nucleic acid amplification and next generation sequencing. Experience in design and development of quantitative PCR and RT-PCR assays is a plus. The hired individual must have the ability to multi-task while maintaining precise documentation of experiments performed.

Key responsibilities and accountabilities:
Amplification (qPCR, RT-qPCR, isothermal amplification, digital PCR)
Standard molecular biology techniques (DNA extraction/purification, PCR, cloning)",Research Engineer,R&D Scientist,"Middleton, WI",3.5,Unknown / Non-Applicable,$38K - $68K (Glassdoor est.),Biotech & Pharmaceuticals,1001 to 5000 Employees,Company - Private
LGC Limited,1842,Biotech & Pharmaceuticals,"Position Summary:
The Senior Scientist is a multi-disciplinary molecular biology position that will provide leadership to the organization as part of the Integrated Solutions team, bringing curiosity, problem solving skills, and scientific acumen to LGC. The Integrated Solutions team supports various wings of the organization such as Research and Development, Sales, Marketing, Customer Service, and Manufacturing.
The scope of this position will include scientific leadership of new product development, research into previously unexplored areas, development of applications for existing products, and continued customer support. This may include developing new testing methodologies, troubleshooting data, converting potential customers to LGC products, and searching literature for emerging technologies in relevant fields. This position will require extensive knowledge from genomics, molecular biology, chemistry, PCR-based genetic analysis, and laboratory automation.",Research Scientist,Senior Scientist,"Alexandria, MN",3.5,Unknown / Non-Applicable,$51K - $111K (Glassdoor est.),Biotech & Pharmaceuticals,1001 to 5000 Employees,Company - Private
PeoplesBank,-1,-1,"PeoplesBank is the largest mutually chartered bank in Western Massachusetts and a leader in green values, sustainable energy financing, and charitable giving. Come join our team of dedicated individuals who want to contribute to a dynamic, successful organization.
Schedule: Full Time Monday-Wednesday and Friday 8am-4pm, Thursday 8am-4:30pm
Summary: As a direct report to the Data Management & Analytics Officer, the Data Analyst will be responsible for utilizing complex computer programs (i.e. OBIEE) to mine data, increase reporting processes efficiencies through automation, as well as develop reports and dashboards containing key performance indicators and data analysis to be used for making informed business decisions. The Data Analyst will be a critical part of interdepartmental requirements gathering sessions, troubleshooting, and project scope definition.
Responsibilities",Data Analyst,Data Analyst,"Holyoke, MA",-1,-1,-1,-1,-1,-1
Reditus Laboratories,-1,-1,"JOB DESCRIPTION
Under supervision and direction from the Director/Chief of Diagnostics and Development, conducts specialized, professional scientific and technical research experiments of analyses to evaluate analytical methodologies and procedures for enhancing the diagnostic capability of laboratories; makes independent decisions concerning the evaluation of these methodologies and procedures. With direction from the Director/Chief and/or Medical/CLIA Director, and Quality Management Section (QMS) assures the implementation of new, approved methodologies and procedures into existing laboratory methods and laboratory quality assurance programs.
DESCRIPTION OF DUTIES
1. Evaluates and adapts new procedures and protocols to incorporate same into existing laboratory procedures.
2. Trains and instructs professional laboratory personnel in new testing methods
3. Develops and implements state-of-the-art testing procedures such as real time Polymerase Chain Reaction (PCR) for detection of viruses and bacteria, and deoxyribonucleic acid (DNA) sequencing.
4. Develops/revises standard operating procedures (SOPs) for use in laboratory.
5. Conducts internal audits of the Laboratory’s Quality Assurance procedures/policies and prepares comprehensive laboratory inspection reports.
6. Maintains accurate records of experiments, data, and result analysis.
7. Performs other duties as required or assigned which are reasonably within the scope of the duties indicated above.",Research Scientist,Laboratory Research Scientist,"Pekin, IL",-1,-1,-1,-1,-1,-1
"Metron, Inc.",1982,Research & Development,"Job Description:
Our Reston office is seeking talented candidates to develop mathematical models and algorithms, develop and demonstrate prototype software, and participate in operational analysis related to their technical work. Our Reston office employs mathematicians, physicists and computer scientists. We routinely apply stochastic processes, statistical inference, optimization and scheduling, models of random graphs and applied physics to develop the underlying theory and applications for our clients. The successful candidate will interact with customers, gather requirements and data, write and present briefings, and contribute to the development of Metron tools.

Projects typically involve developing advanced algorithms implemented in a computer prototype system for our research & development customers. We work in small teams, led by Senior Scientists, who work closely with new employees. Project teams work together from the initial system concept, through software and algorithm design, to implementation and demonstration.
Desired Qualifications:",Research Scientist,Research Scientist,"Reston, VA",3.4,$50 to $100 million (USD),-1,Business Services,201 to 500 Employees,Company - Private
